Generation,Generation 0,Generation 1,Generation 2,Generation 3,Generation 4,Generation 5,Generation 6,Generation 7,Generation 8,Generation 9,Generation 10,Generation 11,Generation 12,Generation 13,Generation 14,Generation 15,Generation 16,Generation 17,Generation 18,Generation 19,Generation 20,Generation 21,Generation 22,Generation 23,Generation 24,Generation 25,Generation 26,Generation 27,Generation 28,Generation 29,Generation 30,Generation 31,Generation 32,Generation 33,Generation 34,Generation 35,Generation 36,Generation 37,Generation 38,Generation 39,Generation 40,Generation 41,Generation 42,Generation 43,Generation 44,Generation 45,Generation 46,Generation 47,Generation 48,Generation 49,Generation 50
P=0.1,0.1,0.17,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
P=0.2,0.05,0.15,0.18,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
P=0.3,0.033333333,0.14,0.266666667,0.303333333,0.356666667,0.36,0.363333333,0.363333333,0.363333333,0.373333333,0.403333333,0.413333333,0.43,0.436666667,0.44,0.446666667,0.45,0.463333333,0.473333333,0.483333333,0.486666667,0.49,0.49,0.493333333,0.496666667,0.503333333,0.51,0.51,0.513333333,0.516666667,0.54,0.55,0.566666667,0.57,0.573333333,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333
P=0.4,0.025,0.1075,0.215,0.27,0.33,0.3825,0.405,0.4125,0.425,0.4875,0.575,0.6525,0.6775,0.6975,0.7275,0.775,0.8225,0.8425,0.8925,0.9525,0.97,0.985,0.99,0.995,1.0175,1.0575,1.115,1.2575,1.2975,1.32,1.335,1.3425,1.3675,1.42,1.4675,1.5375,1.57,1.6075,1.6425,1.66,1.6975,1.74,1.7675,1.7875,1.7975,1.81,1.82,1.835,1.8425,1.8675,1.89
P=0.5,0.02,0.094,0.234,0.358,0.434,0.514,0.58,0.608,0.628,0.65,0.68,0.742,0.778,0.874,0.9,0.934,0.958,1.006,1.178,1.224,1.278,1.366,1.406,1.474,1.508,1.73,1.956,2.058,2.164,2.298,2.396,2.476,2.588,2.694,2.846,2.922,3.016,3.232,3.324,3.43,3.52,3.642,3.71,3.79,3.892,3.99,4.162,4.342,4.474,4.594,4.666
P=0.6,0.016666667,0.098333333,0.438333333,0.545,0.97,1.161666667,1.471666667,1.761666667,2.006666667,2.338333333,2.951666667,3.745,4.42,5.07,5.68,6.143333333,6.685,7.276666667,7.876666667,8.325,9.07,9.798333333,10.79,11.36,12.33166667,13.18166667,13.86,15.41833333,16.73166667,17.46,18.40333333,19.26,20.29666667,21.83333333,23.65,24.78666667,25.8,26.95,28.04,28.96333333,30.39,31.25,32.59333333,33.675,35.52333333,36.75833333,37.88333333,39.05,40.15833333,41.385,42.615
P=0.7,0.014285714,0.101428571,1.872857143,8.192857143,16.02285714,26.00857143,33.73714286,42.55714286,53.92142857,63.06142857,70.14857143,76.41142857,79.58714286,81.94428571,83.62571429,86.21428571,90.73571429,92.73,95.28,96.50428571,97.33285714,97.81714286,98.20571429,98.62142857,98.89428571,99.16142857,99.33857143,99.45142857,99.52571429,99.59714286,99.65,99.68571429,99.72714286,99.75714286,99.78285714,99.79857143,99.81571429,99.83714286,99.84714286,99.86,99.87428571,99.89,99.89857143,99.90285714,99.90714286,99.91285714,99.91285714,99.92142857,99.92714286,99.93,99.93571429
P=0.8,0.0125,0.0875,20.2575,63.80875,77.8025,95.8,99.39,99.50125,99.53,99.5675,99.68125,99.78875,99.8775,99.9075,99.93875,99.945,99.95125,99.95625,99.97625,99.98125,99.985,99.98625,99.9875,99.9875,99.9875,99.99,99.9925,99.9925,99.99375,99.995,99.995,99.99625,99.99625,99.99625,99.99625,99.9975,99.9975,99.9975,99.9975,99.9975,99.9975,99.9975,99.9975,99.9975,99.9975,99.9975,99.9975,99.99875,99.99875,99.99875,99.99875
P=0.9,0.011111111,0.095555556,33.16777778,98.44444444,99.91888889,99.94222222,99.95,99.95333333,99.96777778,99.97,99.99222222,99.99666667,99.99666667,99.99666667,99.99777778,99.99777778,99.99888889,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
L=3,0.016666667,0.085,0.64,1.083333333,1.308333333,1.753333333,2.546666667,3.313333333,4.111666667,5.218333333,6.598333333,8.105,9.806666667,11.015,12.93833333,15.21166667,17.85833333,20.39166667,23.37833333,26.06833333,30.23166667,34.58833333,38.205,41.81666667,45.855,48.81,52.43333333,55.57,58.765,62.365,65.75333333,68.44666667,71.04833333,73.34166667,75.91333333,78.08333333,80.27,81.93,83.47833333,85.29666667,86.51666667,87.97,89.39166667,90.92666667,91.96166667,93.235,94.02166667,94.74833333,95.23333333,95.78333333,96.29
